CRASH BANDICOOT - ALL VARIABLES (3368)
================================================================================

Address        Size  Name
--------------------------------------------------------------------------------
0x00100000   0        _stack_size
0x00100008   0        ENTRYPOINT
0x00281530   0        vu_load_xform_mpg
0x00282980   0        vu_load_tri_mpg
0x002834E0   0        vu_load_tric_mpg
0x00284620   0        vu_load_tricu_mpg
0x00285870   0        vu_load_tricdv_mpg
0x00285EE0   0        vu_load_trica_mpg
0x00286FC0   0        vu_load_xformuv_mpg
0x002885B0   0        vu_load_faceon_mpg
0x002888E0   0        vu_load_ptl_mpg
0x00289020   0        vu_load_fx_mpg
0x0028AD70   0        patch_vu0_mpg
0x0028CFF0   0        vu_load_fx2_mpg
0x0028F470   0        vu_load_water_mpg
0x00290840   0        vu_load_wateruv_mpg
0x00291A40   0        vu_load_glass_mpg
0x00293090   0        vu_load_cloud_mpg
0x00293700   16       fmode
0x00293710   12       forig
0x00293720   16       filesys_root
0x00293730   256      working_dir
0x00293830   13       blk_hdr
0x00293840   13       blk_end
0x00293850   12       nuvec_zero
0x00293860   12       nuvec_one
0x00293870   12       nuvec_x
0x00293880   12       nuvec_y
0x00293890   12       nuvec_z
0x002938A0   64       gm
0x002938E0   64       numtx_identity
0x00293920   64       numtx_zero
0x00293960   1026     ang
0x00293D68   262144   NuTrigTable
0x002D3DE0   12       rndrstream_specular_dir
0x002D3DF0   16       rndrstream_specular_intensity
0x002D3E00   0        mask.168
0x002D3E08   12       camvec.184
0x002D3E20   144      rndrstream_rt_light_buffer
0x002D3EB0   12       cam_axes
0x002D3EC0   96       global_camera
0x002D3F20   0        tcaddr.210
0x002D3F30   0        mmag.211
0x002D3F40   0        mmin.212
0x002D3F50   0        kickval.144
0x002D4008   0        kickval.170
0x002D4090   128      my_factors
0x002D4110   0        uvidx.310
0x002D4130   0        uvidx.314
0x002D4150   0        uvidx.318
0x002D4170   5544     Hazetab
0x002D5718   3072     NuRndrShadPolDat
0x002D6318   1152     NuRndrWaterRipDat
0x002D6798   128      NuRndrShadMasks
0x002D6818   24       NuRndrShadBox
0x002D6830   20480    shadstore
0x002DB830   5544     watertab
0x002DCDD8   16384    ot_tri
0x002E0DD8   16384    ot_tribuff
0x002E4DD8   108      lightfan
0x002E4E48   12       curlight
0x002E4E58   3584     NuRndrFootData
0x002E5C58   2208     ariel16_fnt
0x002E64F8   8310     ariel16_bmp
0x002E8570   16       fnt_fg_rgba
0x002E8580   256      NuRndrTopBit
0x002E8680   72       NuLgtHSurf
0x002E86C8   72       NuLgtSurf
0x002E8710   1024     NuLgtArcLaserData
0x002E8B10   16       NuLightHazePolyus
0x002E8B20   16       NuLightHazePolyvs
0x002E8B30   640      NuLgtPolyHazeData
0x002E8DB0   256      NuLightSpots
0x002E8EB0   12       NuLgtHFogMat
0x002E8EC0   96       NuLgtHLightMat
0x002E8F20   12       NuLgtFogMat
0x002E8F30   96       NuLgtLightMat
0x002E8F90   12       nugscn_gobj_min
0x002E8FA0   12       nugscn_gobj_max
0x002E8FE0   64       stipcoltab
0x002E9020   12       NuCvtPntSpan
0x002E9030   12       NuCvtPntMid
0x002E9040   24       ei.81
0x002E9058   168      packet_unique
0x002E9100   152      nutexanimcomtab
0x002E9198   256      nta_labels
0x002E9298   768      ntalsysbuff
0x002E9598   36       nufpatch_stats
0x002E95C0   64       subLeft
0x002E9600   64       subRight
0x002E9640   64       subTop
0x002E9680   64       subBottom
0x002E96C0   192      submtx2
0x002E9780   256      stitchtable
0x002E9880   48       heightTable
0x002E98B0   0        lut.69
0x002E9CB0   0        lut.73
0x002E9EB0   0        block_table4.77
0x002E9F30   0        block_table32.78
0x002E9FB0   0        block_table8.82
0x002EA030   0        block_table32.83
0x002EA0B0   32       psmt4_col96off
0x002EA0D0   64       def_cols
0x002EA110   24       videocfg
0x002EA130   816      ps2video_display_cfg
0x002EA460   32       tagnames
0x002EA480   100      marknames
0x002EA4E8   100      mark_suppressed
0x002EA550   16       dmatag.105
0x002EA560   16       dmatag.109
0x002EA570   16       dmatag.113
0x002EA580   16       dmatag.117
0x002EA5C8   1024     pnts
0x002EA9D0   12       ShadNorm
0x002EA9E0   12       EShadNorm
0x002EA9F0   12       ShadRoofNorm
0x002EAA00   12       EShadRoofNorm
0x002EAA10   256      SphereData
0x002EAB10   64       tertempmat
0x002EAB50   16       tertempvec4
0x002EAB60   100      TerrPolyInfo
0x002EABC8   51200    ScaleTerrainT1
0x002F73C8   51200    ScaleTerrainT2
0x00303BC8   1536     WallSplList
0x003041C8   12       PlatImpactNorm
0x003041D8   100      PlatImpactTer
0x00304240   8192     TempScanStack
0x00306240   109056   effecttypes
0x00320C40   512      debtab
0x00320E40   44       gensorttab
0x00320E70   28       gencodetab
0x00320E90   32       DebMat
0x00320EB0   355328   debkeydata
0x00377AB0   22528    ParticleChunkRenderStack
0x0037D2B0   2400     ColourSlots
0x0037DC10   22528    debris_chunk_controls
0x00383410   128      debris_chunk_control_stack
0x00383490   1024     freedebchunks
0x00383890   512      freedebkeys
0x00383A90   2048     freechunkcontrols
0x00384290   512      DmaDebTypes
0x00384490   128      debris_emitter_stack
0x00384510   2048     singledebriskey
0x00384D10   128      debris_single_stack
0x00384D90   1048576  debbuffer
0x00484D90   32       flamehandel
0x00484DC0   32       mcfilename
0x00484DE0   256      levelfilename
0x00484EE0   52       edptldesc
0x00484F18   19456    edpp_ptls
0x00489B18   12       edpp_cam_pos
0x00489B40   640      mcdir
0x00489DC0   52       edobjdesc
0x00489DF8   256      ObjectAnim
0x00489F00   5120     ObjectInstance
0x0048B300   6144     ObjectInstAnim
0x0048CB00   64256    ObjectPath
0x0049C600   64       edobj_cursor_matrix
0x0049C640   12       edobj_cam_pos
0x0049C650   12       edobj_snap_vec
0x0049C660   52       edanimdesc
0x0049C698   46080    AnimParams
0x004A7A98   12       edanim_cam_pos
0x004A7AA8   256      edbits_level_filename
0x004A7BA8   128      object_switches
0x004A7C28   4096     edfile_buffer
0x004A8C28   964      mciconsys
0x004A8FF0   32       fname
0x004A9010   32       dname
0x004A9030   32       saveload_slotname
0x004A9050   64       cutscenecammtx
0x004A9090   23168    Bridges
0x004AEB10   65536    NuWindMtxs
0x004BEB10   2560     NuWindGroup
0x004BF510   52       edgradesc
0x004BF548   12       edgra_cam_pos
0x004BF558   2304     GrassClumps
0x004BFE58   16       textcaps
0x004BFE68   16       textlow
0x004BFE78   108      gp_cam
0x004BFF00   48       SOUND_SPUKeyStatus
0x004BFF30   16       SOUND_STREAM_SPU_CHAN
0x004BFF40   16       SOUND_STREAM_ID
0x004BFF50   16       SOUND_STREAM_SPU_ADDR
0x004BFF60   16       SOUND_STREAM_PLAY_HALF
0x004BFF70   16       SOUND_STREAM_ENV
0x004BFF80   128      NuSndLoopInfo
0x004C0000   2048     senddata
0x004C0800   2048     IOPCommandData
0x004C1000   512      sbuff2
0x004C1200   128      foot_u
0x004C1280   128      foot_v
0x004C1300   384      texanimscripts
0x004C1480   128      world_scene
0x004C1500   64       load_txt
0x004C1540   24       bgload_objpos
0x004C1558   8        bgloadcharnames
0x004C1560   8        bgloadanimnames
0x004C1568   12       mg_gopos
0x004C1578   12       mg_fontpos
0x004C1588   12       mg_fontscale
0x004C1598   12       mg_scorewumpa
0x004C15A8   12       bgload_campos
0x004C15B8   12       bgloadpos
0x004C15C8   256      PadRecordPath
0x004C16C8   600000   PadData
0x00553E88   32768    texanimbuff
0x0055BE88   12       mg_player_pos
0x0055BE98   24       mg_wumpa_shapes
0x0055BEB0   12       mg_player_actpos
0x0055BEC0   512      mg_wumpaobj
0x0055C0C0   64       mg_wumpamtx
0x0055C100   120      CrashAnim_GLIDER
0x0055C178   72       CrashAnim_MOSQUITO
0x0055C1C0   264      CrashAnim_ATLASPHERE
0x0055C2C8   168      CrashAnim_GYRO
0x0055C370   120      CrashAnim_MINETUB
0x0055C3E8   48       CrashAnim_CREDITS
0x0055C418   2184     CrashAnim
0x0055CCA0   72       CocoAnim_DROPSHIP
0x0055CCE8   816      CocoAnim
0x0055D018   360      CortexAnim
0x0055D180   216      HoloCortexAnim
0x0055D258   48       AkuAkuAnim
0x0055D288   48       AkuAkuFeathersAnim
0x0055D2B8   24       UkaUkaAnim
0x0055D2D0   120      HoloUkaUkaAnim
0x0055D348   120      NGinAnim
0x0055D3C0   72       NTropyAnim
0x0055D408   72       AngelWingsAnim
0x0055D450   72       SpinCrashAnim
0x0055D498   72       CrashBodyPartsAnim
0x0055D4E0   168      PenguinPAnim
0x0055D588   48       PolarGuardAnim
0x0055D5B8   48       SnowHogAnim
0x0055D5E8   96       ParrotAnim
0x0055D648   48       ParrotFeathersAnim
0x0055D678   72       MonkeyAnim
0x0055D6C0   72       BananaAnim
0x0055D708   72       SharkAnim
0x0055D750   120      StarfishAnim
0x0055D7C8   96       GorillaAnim
0x0055D828   48       TurtleAnim
0x0055D858   48       DragonflyAnim
0x0055D888   120      CrabAnim
0x0055D900   48       ClamAnim
0x0055D930   72       DonkeyAnim
0x0055D978   48       EelAnim
0x0055D9A8   48       FishyAnim
0x0055D9D8   48       GeckoAnim
0x0055DA08   48       LionFishAnim
0x0055DA38   48       SalmonAnim
0x0055DA68   48       SubmarineAnim
0x0055DA98   72       VultureAnim
0x0055DAE0   48       AnglerFishAnim
0x0055DB10   48       ScorpionAnim
0x0055DB40   72       MoleAnim
0x0055DB88   48       DrillAnim
0x0055DBB8   48       BlobAnim
0x0055DBE8   120      SnowMachineAnim
0x0055DC60   48       WarthogAnim
0x0055DC90   72       BabyRhinoAnim
0x0055DCD8   72       GiraffeAnim
0x0055DD20   72       ElephantAnim
0x0055DD68   72       HippoAnim
0x0055DDB0   96       PenguinFAnim
0x0055DE10   48       BirdAnim
0x0055DE40   72       ButterflyAnim
0x0055DE88   48       BeeAnim
0x0055DEB8   48       LionAnim
0x0055DEE8   48       DaddyRhinoAnim
0x0055DF18   120      GliderAnim
0x0055DF90   48       SealAnim
0x0055DFC0   48       NarwhalAnim
0x0055DFF0   120      KnightAnim
0x0055E068   72       WizardAnim
0x0055E0B0   168      GyroAnim
0x0055E158   72       KoiCarpAnim
0x0055E1A0   120      NinjaAnim
0x0055E218   48       BatAnim
0x0055E248   48       CrashBatAnim
0x0055E278   72       GongBongerAnim
0x0055E2C0   72       FlamingoAnim
0x0055E308   48       ZoffaAnim
0x0055E338   48       ZoffaGenericAnim
0x0055E368   48       ZoffaNGinAnim
0x0055E398   48       ZoffaTinyAnim
0x0055E3C8   48       ZoffaDingodileAnim
0x0055E3F8   48       ZoffaNTropyAnim
0x0055E428   48       HovaBlimpAnim
0x0055E458   168      JeepAnim
0x0055E500   120      DragonAnim
0x0055E578   384      MechAnim
0x0055E6F8   72       WumpaAnim
0x0055E740   72       MammothAnim
0x0055E788   72       BouncyCrateAnim
0x0055E7D0   48       ArrowCrateAnim
0x0055E800   48       MetalArrowCrateAnim
0x0055E830   48       AkuAkuCrateAnim
0x0055E860   48       CheckpointCrateAnim
0x0055E890   48       MetalExclamationCrateAnim
0x0055E8C0   48       NitroExclamationCrateAnim
0x0055E8F0   48       ReinforcedCrateAnim
0x0055E920   48       IceCubeAnim
0x0055E950   96       DingodileAnim
0x0055E9B0   24       ZepplinAnim
0x0055E9C8   120      TinyAnim
0x0055EA40   24       AtlasSphereAnim
0x0055EA58   24       RokKoAnim
0x0055EA70   24       PyRoAnim
0x0055EA88   72       WaWaAnim
0x0055EAD0   24       LoLoAnim
0x0055EAE8   72       PigAnim
0x0055EB30   24       CowAnim
0x0055EB48   48       GameTitleAnim
0x0055EB78   72       LizardAnim
0x0055EBC0   48       BlimpIconAnim
0x0055EBF0   24       ShipIconAnim
0x0055EC08   24       SpaceIconAnim
0x0055EC20   24       GunBoatAnim
0x0055EC38   24       GunBoatAnimNGin
0x0055EC50   24       GunBoatAnimNTropy
0x0055EC68   24       GunBoatAnimDingo
0x0055EC80   24       GunBoatAnimTiny
0x0055EC98   48       BattleShipAnim
0x0055ECC8   48       RickShawAnim
0x0055ECF8   120      ScooterAnim
0x0055ED70   48       TunaAnim
0x0055EDA0   48       WheelaAnim
0x0055EDD0   72       CactusAnim
0x0055EE18   72       Droid1Anim
0x0055EE60   72       Droid2Anim
0x0055EEA8   72       Droid3Anim
0x0055EEF0   72       Droid4Anim
0x0055EF38   96       CrashScubaAnim
0x0055EF98   48       CrashScubaSpinAnim
0x0055EFC8   96       DiverAnim
0x0055F028   48       UFOAnim
0x0055F058   120      WeatherCrunchAnim
0x0055F0D0   48       WeatherBossBangAnim
0x0055F100   480      CrunchAnim
0x0055F2E0   168      HoloCrunchHeadAnim
0x0055F388   72       DynoAnim
0x0055F3D0   24       DropShipAnim
0x0055F3E8   48       JellyFishAnim
0x0055F418   72       MineCartAnim
0x0055F460   72       PygmyAnim
0x0055F4A8   48       MosquitoAnim
0x0055F4D8   96       BazookaAnim
0x0055F538   48       SatelliteAnim
0x0055F568   48       BuggyAnim
0x0055F598   72       OctopusAnim
0x0055F5E0   72       TentacleAnim
0x0055F628   48       MouseAnim
0x0055F658   48       RobinAnim
0x0055F688   48       WetJellyFishAnim
0x0055F6B8   48       AshCrashAnim
0x0055F6E8   96       SkierAnim
0x0055F748   48       MineAnim
0x0055F778   72       HarpoonistAnim
0x0055F7C0   216      FireBossAnim
0x0055F898   48       FireBossBangAnim
0x0055F8C8   48       CrashScubaGearAnim
0x0055F8F8   168      SnowBoardAnim
0x0055F9A0   192      MineTubAnim
0x0055FA60   24       ClockAnim
0x0055FA78   48       IconAnim
0x0055FAA8   48       CrashLegsAnim
0x0055FAD8   120      LabGuyAnim
0x0055FB50   48       NuclearLabGuyAnim
0x0055FB80   48       CylonLabGuyAnim
0x0055FBB0   72       EarthCrunchAnim
0x0055FBF8   48       BugAnim
0x0055FC28   48       DiscoLabGuyAnim
0x0055FC58   9932     CData
0x00562328   12       loadsavepos
0x00562338   191      CRemap
0x005623F8   117120   CModel
0x0057ED78   191      CLetter
0x0057EE38   29700    Character
0x00586240   32       tRailExt
0x00586260   12       BOSSCAMPOS
0x00586270   12       BOSSCAMPOS2
0x00586280   36       TempRPos
0x005862A8   108      cRPos
0x00586318   108      temp_cRPos
0x00586388   320      Rail
0x005864C8   284      GameCam
0x005865F0   16       DemoLevel
0x00586600   12       v000
0x00586610   12       v100
0x00586620   12       v010
0x00586630   12       v001
0x00586640   12       v111
0x00586650   12       v101
0x00586660   28       cortex_gameover_tab
0x00586680   72       HData
0x005866C8   24       hubmidpos
0x005866E0   33       EskimoRollModelList
0x00586708   44       CrashAndBurnModelList
0x00586738   50       H2OhNoModelList
0x00586770   27       AirshipModelList
0x00586790   40       CompactorReactorModelList
0x005867B8   33       AvalancheModelList
0x005867E0   112      AvalancheChaseData
0x00586850   43       CoralCanyonModelList
0x00586880   39       ArcticAnticsModelList
0x005868A8   38       JungleRumbleModelList
0x005868D0   168      JungleRumbleChaseData
0x00586978   33       ForceOfNatureModelList
0x005869A0   39       TheGauntletModelList
0x005869C8   27       BamboozledModelList
0x005869E8   34       BanzaiBonsaiModelList
0x00586A10   34       TornadoAlleyModelList
0x00586A38   34       TsunamiModelList
0x00586A60   112      TsunamiChaseData
0x00586AD0   44       FahrenheitFrenzyModelList
0x00586B00   31       MedievalMadnessModelList
0x00586B20   39       WizardsAndLizardsModelList
0x00586B48   224      WizardsAndLizardsChaseData
0x00586C28   34       ThatSinkingFeelingModelList
0x00586C50   40       GoldRushModelList
0x00586C78   44       DroidVoidModelList
0x00586CA8   32       RumbleInTheRoksModelList
0x00586CC8   36       CrashesToAshesModelList
0x00586CF0   31       DrainDamageModelList
0x00586D10   32       AtmosphericPressureModelList
0x00586D30   41       CrunchTimeModelList
0x00586D60   33       CrashteroidsModelList
0x00586D88   32       KnightTimeModelList
0x00586DA8   28       GhostTownModelList
0x00586DC8   28       IceStationBandicootModelList
0x00586DE8   40       WeatheringHeightsModelList
0x00586E10   43       CrateBallsOfFireModelList
0x00586E40   224      CrateBallsOfFireChaseData
0x00586F20   32       SolarBowlerModelList
0x00586F40   43       CortexVortexModelList
0x00586F70   42       SeaShellShenanigansModelList
0x00586FA0   2        TitlesModelList
0x00586FA8   32       SmokeyAndTheBandicootModelList
0x00586FC8   26       FrontEndModelList
0x00586FE8   2        GameOverModelList
0x00586FF0   1        IntroModelList
0x00586FF8   8        SpaceModelList
0x00587000   1        OutroModelList
0x00587008   2        TestZoneModelList
0x00587010   3        CreditsModelList
0x00587018   3696     LData
0x00587E88   28       NameInputTable
0x00587EA8   1752     SplTab
0x00588580   6432     ObjTab
0x00589EA0   400      Mask
0x0058A030   576      MaskFeathers
0x0058A270   2592     Kaboom
0x0058AC90   792      VTog
0x0058AFA8   12       vtog_oldpos
0x0058AFB8   12       vtog_newpos
0x0058AFC8   12       tumble_oldpos
0x0058AFD8   12       tumble_newpos
0x0058AFE8   12       hubwarp_oldpos
0x0058AFF8   12       hubwarp_newpos
0x0058B008   144      Award
0x0058B098   32       LevelFileName
0x0058B0B8   28       TempAnim
0x0058B0D8   28       TempAnim2
0x0058B0F8   12       TTScrPos
0x0058B108   1036     Game
0x0058B518   36       gempath_RPos
0x0058B540   12       finish_oldpos
0x0058B550   12       finish_newpos
0x0058B560   12       in_finish_pos
0x0058B570   24320    Wumpa
0x00591470   640      WInfo
0x005916F0   1024     WScr
0x00591AF0   1152     NewWumpa
0x00591F70   120      Cursor
0x00591FE8   32       CutSceneText
0x00592008   20       GlobalTimer
0x00592020   20       GameTimer
0x00592038   20       PauseTimer
0x00592050   20       MenuTimer
0x00592068   20       TimeTrialTimer
0x00592080   12       cpPOS
0x00592090   128      tbuf
0x00592110   12       vTEMP
0x00592120   64       mTEMP
0x00592160   64       vTEMP4
0x005921A0   12       plr_target_firepos
0x005921B0   24       plr_target_pos
0x005921C8   12       plr_target_sightpos
0x005921D8   12       plr_target_dir
0x005921E8   64       plr_target_mtx
0x00592228   12       probepos
0x00592238   12       probedpos
0x00592248   12       probespk
0x00592258   12       proberot
0x00592268   12       probepos2
0x00592278   176      TempLights
0x00592328   176      TempLights2
0x005923D8   12       hub_vr_pos
0x005923E8   36       hublevelopen
0x00592410   12       start_pos
0x00592420   64       edit_txt
0x00592460   784      bonus_obj
0x00592770   392      death_obj
0x005928F8   392      gempath_obj
0x00592A80   60       lev_ambpos
0x00592AC0   580      crate_list
0x00592D08   28       tntsfxtime
0x00592D28   192      uvs
0x00592DE8   0        shape.195
0x00592E18   36864    Crate
0x0059BE18   6144     CrateGroup
0x0059D618   256      CrateTypeData
0x0059D718   12       cpGOTO
0x0059D728   40       MarkerCrate
0x0059D750   40       FlashCrate
0x0059D778   40       LockCrate
0x0059D7A0   40       HighlightCrate
0x0059D7C8   30400    BoxExpList
0x005A4E88   128      TerSurface
0x005A4F08   88       TerLayer
0x005A4F60   72       PData
0x005A4FA8   12       vNEWMASK
0x005A4FB8   256      pObj
0x005A50B8   6912     Projectile
0x005A6BB8   12       plr_conveyor_mom
0x005A6BC8   12       jonglowpos
0x005A6BD8   12       xpnt
0x005A6BF0   12       ExhaustPosA
0x005A6C00   12       ExhaustPosB
0x005A6C10   12       SpaceFirePosA
0x005A6C20   12       SpaceFirePosB
0x005A6C30   256      ZoffaStartPoints
0x005A6D30   48       TeleportPos
0x005A6D60   48       TeleportVel
0x005A6D90   12       ZoffaFirePosA
0x005A6DA0   12       ZoffaFirePosB
0x005A6DB0   12       SPACETRAN
0x005A6DC0   12       Scale.266
0x005A6DD0   12       ZepplinGliderOffset
0x005A6DE0   12       FarmCameraStart
0x005A6DF0   12       FarmZepplinStart
0x005A6E00   12       WBCamI
0x005A6E10   12       ExtroIdealPos
0x005A6E20   12       TORNADOCAMIDEAL
0x005A6E30   60       GliderCollPoints
0x005A6E70   12       NullVec.344
0x005A6E80   12       Val.402
0x005A6E90   12       BattleShipCollScale
0x005A6EA0   12       BSTab
0x005A6EB0   12       BossCollScale
0x005A6EC0   12       WBMASKONHIGH
0x005A6ED0   12       WBAKUMASKONHIGH
0x005A6EE0   12       WBMASKLEFT
0x005A6EF0   12       WBMASKRIGHT
0x005A6F00   12       WBMASKEYES
0x005A6F10   12       WBMASKCHEST
0x005A6F20   12       WBLeftFirePos
0x005A6F30   12       TargetTemp
0x005A6F40   12       FireFlyStart
0x005A6F50   12       WRStartPos
0x005A6F60   12       CrashteroidsStart
0x005A6F70   12       LighteningHailVel
0x005A6F80   12       RockPanel
